cost,year_month
1215.0,2015_8
1111.0,2015_8
1215.0,2015_8
0.0,2015_8
203.0,2015_8
173.0,2015_8
172.0,2015_8
120.6,2015_8
172.0,2015_8
532.8,2015_8
472.0,2015_8
446.0,2015_8
536.01,2015_8
669.0,2015_8
830.0,2015_8
979.0,2015_8
1120.0,2015_8
674.1,2015_8
749.0,2015_8
365.0,2015_8
628.0,2015_8
936.0,2015_8
970.0,2015_8
628.0,2015_8
656.0,2015_8
675.0,2015_8
1488.0,2015_8
642.0,2015_8
1795.98,2015_8
1095.1499999999999,2015_8
749.0,2015_8
1020.25,2015_8
1404.97,2015_8
711.5500000000001,2015_8
1498.0,2015_8
172.0,2015_8
172.0,2015_8
172.0,2015_8
172.0,2015_8
195.0,2015_8
172.0,2015_8
172.0,2015_8
153.0,2015_8
1926.0,2015_8
915.0,2015_8
804.0,2015_8
1581.3,2015_8
917.6999999999999,2015_8
711.5500000000001,2015_8
931.0,2015_8
931.0,2015_8
172.0,2015_8
516.0,2015_8
1378.02,2015_8
811.1999999999999,2015_8
729.0,2015_8
577.8,2015_8
577.8,2015_8
1236.48,2015_8
1259.02,2015_8
1309.0,2015_8
1340.0,2015_8
2395.0,2015_8
0.0,2015_8
153.0,2015_8
664.0,2015_8
768.0,2015_8
603.0,2015_8
1102.0,2015_8
72.0,2015_8
1764.0,2015_8
0.0,2015_8
0.0,2015_8
200.0,2015_8
321.0,2015_8
979.3799999999999,2015_8
1476.0,2015_8
884.0,2015_8
268.0,2015_8
326.7,2015_8
343.8,2015_8
343.8,2015_8
707.0,2015_8
615.0,2015_8
670.0,2015_8
730.0,2015_8
960.0,2015_8
1098.0,2015_8
1416.0,2015_8
1069.98,2015_8
1488.0,2015_8
1320.97,2015_8
1824.9699999999998,2015_8
1554.0,2015_8
1222.97,2015_8
1051.6499999999999,2015_8
1295.5,2015_8
172.0,2015_8
1078.98,2015_8
1123.01,2015_8
1043.0,2015_8
1024.1000000000001,2015_8
1128.82,2015_8
1368.1499999999999,2015_8
1303.75,2015_8
1136.03,2015_8
1550.01,2015_8
931.0,2015_8
1024.1000000000001,2015_8
1748.0,2015_8
385.2,2015_8
481.5,2015_8
745.0,2015_8
1150.02,2015_8
1266.0,2015_8
448.20000000000005,2015_8
804.0,2015_8
670.0,2015_8
995.0,2015_8
562.5,2015_8
1090.39,2015_8
921.8999999999999,2015_8
711.5500000000001,2015_8
1588.58,2015_8
99.5,2015_8
153.0,2015_8
233.0,2015_8
153.0,2015_8
265.2,2015_8
308.0,2015_8
656.0,2015_8
1307.0,2015_8
997.0,2015_8
997.0,2015_8
1337.6,2015_8
492.0,2015_8
2066.0,2015_8
0.0,2015_8
193.0,2015_8
96.3,2015_8
112.0,2015_8
467.4,2015_8
1223.97,2015_8
153.0,2015_8
308.0,2015_8
402.0,2015_8
428.0,2015_8
477.0,2015_8
721.62,2015_8
528.71,2015_8
632.73,2015_8
1091.02,2015_8
115.0,2015_8
390.0,2015_8
352.0,2015_8
241.2,2015_8
361.1,2015_8
358.0,2015_8
362.0,2015_8
366.0,2015_8
552.0,2015_8
383.01,2015_8
383.01,2015_8
342.39,2015_8
341.1,2015_8
361.79999999999995,2015_8
165.0,2015_8
241.2,2015_8
832.0,2015_8
666.0,2015_8
505.79999999999995,2015_8
658.98,2015_8
1050.0,2015_8
690.41,2015_8
1162.98,2015_8
1054.97,2015_8
488.7,2015_8
682.5,2015_8
524.0,2015_8
268.0,2015_8
292.0,2015_8
309.54,2015_8
309.54,2015_8
164.0,2015_8
570.0,2015_8
310.0,2015_8
702.0,2015_8
560.0,2015_8
1039.5,2015_8
1022.0,2015_8
154.0,2015_8
207.0,2015_8
207.0,2015_8
345.6,2015_8
215.16,2015_8
427.2,2015_8
286.76,2015_8
681.0,2015_8
673.98,2015_8
673.98,2015_8
1175.02,2015_8
721.49,2015_8
92.86,2015_8
256.0,2015_8
230.4,2015_8
161.1,2015_8
360.99,2015_8
380.01,2015_8
226.38,2015_8
360.99,2015_8
294.0,2015_8
622.0,2015_8
490.4,2015_8
422.0,2015_8
884.0300000000001,2015_8
877.5,2015_8
1249.05,2015_8
453.0,2015_9
404.01,2015_9
459.0,2015_9
476.0,2015_9
620.0,2015_9
436.0,2015_9
632.0,2015_9
640.0,2015_9
226.0,2015_9
640.0,2015_9
664.2,2015_9
707.21,2015_9
579.04,2015_9
774.9699999999999,2015_9
1488.0,2015_9
913.52,2015_9
869.5,2015_9
1356.0,2015_9
1160.32,2015_9
134.0,2015_9
617.0,2015_9
358.45,2015_9
358.45,2015_9
1054.97,2015_9
262.8,2015_9
271.20000000000005,2015_9
264.6,2015_9
264.6,2015_9
65.5,2015_9
264.6,2015_9
633.0,2015_9
240.0,2015_9
264.6,2015_9
264.6,2015_9
264.6,2015_9
438.0,2015_9
579.6,2015_9
318.0,2015_9
498.0,2015_9
492.0,2015_9
1017.0,2015_9
1107.0,2015_9
1494.0,2015_9
795.0,2015_9
795.0,2015_9
556.5,2015_9
640.2199999999999,2015_9
874.7199999999999,2015_9
124.1,2015_9
143.0,2015_9
131.0,2015_9
256.0,2015_9
334.0,2015_9
344.0,2015_9
292.0,2015_9
350.4,2015_9
238.5,2015_9
405.0,2015_9
704.0,2015_9
605.0,2015_9
840.0,2015_9
615.0,2015_9
1377.0,2015_9
1048.0,2015_9
1830.0,2015_9
720.0,2015_9
682.5,2015_9
738.0,2015_9
1026.0,2015_9
1026.0,2015_9
1092.0,2015_9
279.0,2015_9
452.0,2015_9
686.0,2015_9
752.5,2015_9
873.6,2015_9
780.5,2015_9
686.0,2015_9
877.5,2015_9
1171.8,2015_9
1284.78,2015_9
0.0,2015_9
256.0,2015_9
215.07,2015_9
458.0,2015_9
490.0,2015_9
768.0,2015_9
588.0,2015_9
966.0,2015_9
477.0,2015_9
884.0300000000001,2015_9
738.5,2015_9
1456.98,2015_9
556.5,2015_9
791.0,2015_9
1141.0,2015_9
752.5,2015_9
682.5,2015_9
661.5,2015_9
1119.6,2015_9
1530.98,2015_9
1164.1000000000001,2015_9
310.4,2015_9
579.6,2015_9
805.0,2015_9
655.0,2015_9
940.0,2015_9
385.74,2015_9
0.0,2015_9
835.0,2015_9
262.0,2015_9
392.0,2015_9
710.71,2015_9
682.7800000000001,2015_9
640.5,2015_9
904.0,2015_9
931.0,2015_9
1071.0,2015_9
146.0,2015_9
80.0,2015_9
68.5,2015_9
262.0,2015_9
438.0,2015_9
134.0,2015_9
260.07,2015_9
394.20000000000005,2015_9
466.20000000000005,2015_9
413.0,2015_9
535.5,2015_9
577.0,2015_9
792.0,2015_9
324.0,2015_9
283.92,2015_9
295.2,2015_9
412.2,2015_9
765.0,2015_9
402.78,2015_9
131.0,2015_9
0.0,2015_9
150.92,2015_9
150.92,2015_9
743.75,2015_9
595.0,2015_9
584.5,2015_9
342.16,2015_9
514.5,2015_9
913.5,2015_9
1182.0,2015_9
661.5,2015_9
702.1,2015_9
112.42,2015_9
131.0,2015_9
68.5,2015_9
104.8,2015_9
117.9,2015_9
134.0,2015_9
226.0,2015_9
277.0,2015_9
292.0,2015_9
266.0,2015_9
459.0,2015_9
393.0,2015_9
405.0,2015_9
556.0,2015_9
402.5,2015_9
539.77,2015_9
517.5,2015_9
566.0,2015_9
399.59999999999997,2015_9
406.34999999999997,2015_9
671.02,2015_9
479.15000000000003,2015_9
917.9799999999999,2015_9
1300.5,2015_9
371.7,2015_9
123.0,2015_9
511.0,2015_9
491.0,2015_9
663.0,2015_9
620.0,2015_9
463.05000000000007,2015_9
652.4699999999999,2015_9
424.8,2015_9
584.1,2015_9
1260.0,2015_9
793.8000000000001,2015_9
1029.0,2015_9
117.0,2015_9
396.0,2015_9
367.5,2015_9
1064.15,2015_9
600.4,2015_9
804.0,2015_9
460.02,2015_9
603.0,2015_9
760.0,2015_9
1449.14,2015_9
2296.0,2015_9
480.0,2015_9
146.0,2015_9
278.95,2015_9
594.0,2015_9
661.5,2015_9
964.3199999999999,2015_9
1003.24,2015_9
74.0,2015_9
74.0,2015_9
66.6,2015_9
8.0,2015_9
62.0,2015_9
79.0,2015_9
65.0,2015_9
58.5,2015_9
110.0,2015_9
148.0,2015_9
258.0,2015_9
387.0,2015_9
387.0,2015_9
249.0,2015_9
222.0,2015_9
333.0,2015_9
601.0,2015_9
460.0,2015_9
598.5,2015_9
498.40000000000003,2015_9
498.40000000000003,2015_9
71.2,2015_9
133.2,2015_9
0.0,2015_9
111.0,2015_9
106.2,2015_9
260.0,2015_9
260.0,2015_9
260.0,2015_9
260.0,2015_9
260.0,2015_9
370.0,2015_9
260.0,2015_9
296.0,2015_9
414.40000000000003,2015_9
514.5,2015_9
767.9699999999999,2015_9
633.01,2015_9
1128.82,2015_9
642.6,2015_9
240.0,2015_9
228.0,2015_9
244.79999999999998,2015_9
339.0,2015_9
243.60000000000002,2015_9
497.5,2015_9
514.5,2015_9
595.0,2015_9
751.0,2015_9
118.0,2015_9
488.0,2015_9
480.0,2015_9
760.0,2015_9
635.0,2015_9
488.81,2015_9
720.51,2015_9
455.69999999999993,2015_9
673.82,2015_9
873.18,2015_9
728.0,2015_9
592.0,2015_9
1382.8999999999999,2015_9
592.0,2015_9
464.0,2015_9
706.51,2015_9
524.51,2015_9
412.85999999999996,2015_9
412.51,2015_9
467.5,2015_9
753.5,2015_9
612.04,2015_9
148.0,2015_9
198.0,2015_9
180.0,2015_9
237.0,2015_9
267.0,2015_9
413.14000000000004,2015_9
556.5,2015_9
524.51,2015_9
623.98,2015_9
375.83,2015_9
801.36,2015_9
665.82,2015_9
995.0,2015_9
995.0,2015_9
592.0,2015_9
722.04,2015_9
178.0,2015_9
528.01,2015_9
544.11,2015_9
518.0,2015_9
564.41,2015_9
1125.04,2015_9
108.65,2015_9
75.65,2015_9
108.85,2015_9
228.0,2015_9
113.96,2015_9
374.0,2015_9
615.02,2015_9
1044.0,2015_9
576.0,2015_9
336.0,2015_9
151.0,2015_9
178.0,2015_9
240.29999999999998,2015_9
97.2,2015_9
381.5,2015_9
373.5,2015_9
388.01,2015_9
339.78,2015_9
838.0,2015_9
615.02,2015_9
80.1,2015_9
80.0,2015_9
173.0,2015_9
80.0,2015_9
89.0,2015_9
217.0,2015_9
273.0,2015_9
193.0,2015_9
285.0,2015_9
445.0,2015_9
445.0,2015_9
504.98,2015_9
633.43,2015_9
375.76,2015_9
684.0,2015_9
80.08,2015_9
178.0,2015_9
209.44,2015_9
348.0,2015_9
414.0,2015_9
441.0,2015_9
898.9399999999999,2015_9
385.63,2015_9
657.02,2015_9
488.0,2015_9
88.4,2015_9
94.5,2015_9
425.4,2015_9
388.01,2015_9
654.01,2015_9
252.91000000000003,2015_9
388.01,2015_9
635.18,2015_9
267.75,2015_9
744.1700000000001,2015_9
932.0,2015_9
1004.04,2015_9
591.2199999999999,2015_9
68.53,2015_9
172.2,2015_9
242.0,2015_9
178.0,2015_9
476.0,2015_9
546.6999999999999,2015_9
493.5,2015_9
612.0,2015_9
470.88,2015_9
396.13,2015_9
413.21000000000004,2015_9
248.0,2015_9
311.5,2015_9
311.5,2015_9
654.0,2015_9
439.2,2015_9
961.1999999999999,2015_9
106.0,2015_9
104.0,2015_9
90.1,2015_9
111.0,2015_9
175.5,2015_9
175.5,2015_9
219.0,2015_9
167.39999999999998,2015_9
175.5,2015_9
175.5,2015_9
219.0,2015_9
219.0,2015_9
385.98,2015_9
601.98,2015_9
311.5,2015_9
503.51000000000005,2015_9
369.10999999999996,2015_9
336.0,2015_9
437.01,2015_9
369.10999999999996,2015_9
309.89000000000004,2015_9
761.6,2015_9
120.0,2015_10
355.5,2015_10
261.0,2015_10
144.89999999999998,2015_10
279.0,2015_10
260.0,2015_10
224.0,2015_10
260.0,2015_10
330.0,2015_10
430.0,2015_10
372.0,2015_10
519.61,2015_10
721.0,2015_10
574.0,2015_10
489.51000000000005,2015_10
307.51,2015_10
402.01,2015_10
257.18,2015_10
441.56,2015_10
329.0,2015_10
388.01,2015_10
152.0,2015_10
112.0,2015_10
156.0,2015_10
0.0,2015_10
188.0,2015_10
224.0,2015_10
530.0,2015_10
311.5,2015_10
539.0,2015_10
352.8,2015_10
311.5,2015_10
415.8,2015_10
388.01,2015_10
295.60999999999996,2015_10
504.0,2015_10
487.2,2015_10
538.0,2015_10
511.2,2015_10
74.0,2015_10
42.3,2015_10
90.0,2015_10
67.0,2015_10
110.0,2015_10
152.28,2015_10
160.28,2015_10
152.28,2015_10
326.4,2015_10
237.16,2015_10
160.28,2015_10
237.6,2015_10
518.98,2015_10
348.0,2015_10
258.0,2015_10
286.72,2015_10
313.59999999999997,2015_10
654.01,2015_10
331.31,2015_10
581.35,2015_10
612.01,2015_10
477.12,2015_10
392.0,2015_10
956.97,2015_10
359.09999999999997,2015_10
92.6,2015_10
47.0,2015_10
112.0,2015_10
112.0,2015_10
445.62,2015_10
479.01000000000005,2015_10
604.0,2015_10
860.2,2015_10
206.25,2015_10
200.25,2015_10
1504.02,2015_10
346.02,2015_10
380.82,2015_10
60.3,2015_10
123.0,2015_10
176.0,2015_10
268.0,2015_10
218.0,2015_10
268.0,2015_10
383.03999999999996,2015_10
585.1999999999999,2015_10
511.0,2015_10
654.5,2015_10
0.0,2015_10
43.12,2015_10
132.0,2015_10
0.0,2015_10
251.2,2015_10
174.0,2015_10
580.02,2015_10
826.0,2015_10
688.8000000000001,2015_10
303.09999999999997,2015_10
58.0,2015_10
132.6,2015_10
0.0,2015_10
94.0,2015_10
0.0,2015_10
67.0,2015_10
49.01,2015_10
257.16,2015_10
94.0,2015_10
291.2,2015_10
388.01,2015_10
341.18,2015_10
388.01,2015_10
469.0,2015_10
479.01000000000005,2015_10
40.0,2015_10
67.0,2015_10
67.0,2015_10
87.0,2015_10
202.5,2015_10
221.01,2015_10
150.0,2015_10
150.0,2015_10
220.98,2015_10
150.0,2015_10
168.0,2015_10
144.0,2015_10
135.0,2015_10
150.0,2015_10
201.0,2015_10
213.0,2015_10
135.0,2015_10
150.0,2015_10
135.0,2015_10
213.0,2015_10
340.0,2015_10
289.59,2015_10
373.59,2015_10
178.0,2015_10
339.99,2015_10
542.01,2015_10
749.64,2015_10
58.0,2015_10
48.0,2015_10
67.0,2015_10
112.0,2015_10
84.0,2015_10
135.0,2015_10
178.0,2015_10
112.0,2015_10
129.35999999999999,2015_10
314.01,2015_10
339.99,2015_10
100.0,2015_10
